Fecha,Momento,Temperatura (°C),Humedad (%),Lluvia,Humedad Suelo (%)
18/05/2026,Mañana,20.5,85,0,72
18/05/2026,Tarde,25.1,70,0,68
18/05/2026,Noche,18.9,90,1,75
19/05/2026,Mañana,21.0,83,0,71
19/05/2026,Tarde,26.0,68,0,67
19/05/2026,Noche,19.2,88,0,73
20/05/2026,Mañana,20.8,84,0,72
20/05/2026,Tarde,25.5,72,0,69
20/05/2026,Noche,19.0,89,1,76
21/05/2026,Mañana,21.2,82,0,70
21/05/2026,Tarde,26.3,69,0,66
21/05/2026,Noche,19.5,87,0,72
22/05/2026,Mañana,20.6,85,1,78
22/05/2026,Tarde,24.8,75,1,80
22/05/2026,Noche,18.7,92,1,82
23/05/2026,Mañana,21.1,83,0,73
23/05/2026,Tarde,25.7,71,0,69
23/05/2026,Noche,19.3,88,0,74
24/05/2026,Mañana,20.9,84,0,72
24/05/2026,Tarde,25.3,72,0,68
24/05/2026,Noche,19.1,89,0,73
